"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 24 10:27:08 AST 2023","Sun Sep 24 10:27:09 AST 2023","950","Practice Suite","Home Page Test","HomePageTest.HeroSectionTest","HomePageTest.HeroSectionTest","verifyBackFromAppStorePageToHomePage","verifyBackFromAppStorePageToHomePage",""
"passed","Sun Sep 24 10:27:01 AST 2023","Sun Sep 24 10:27:01 AST 2023","27","Practice Suite","Home Page Test","HomePageTest.NavigationBarTest","HomePageTest.NavigationBarTest","joinAsSpecialistButtonIsDisplayed","joinAsSpecialistButtonIsDisplayed",""
"passed","Sun Sep 24 10:27:27 AST 2023","Sun Sep 24 10:27:27 AST 2023","48","Practice Suite","Specialists Page Test","SpecialistsPageTest","SpecialistsPageTest","scrollDownSection","scrollDownSection",""
"passed","Sun Sep 24 10:26:58 AST 2023","Sun Sep 24 10:26:58 AST 2023","686","Practice Suite","Home Page Test","HomePageTest.NavigationBarTest","HomePageTest.NavigationBarTest","verifyBackFormOrganizationsPageToHomePage","verifyBackFormOrganizationsPageToHomePage",""
"passed","Sun Sep 24 10:26:33 AST 2023","Sun Sep 24 10:26:34 AST 2023","691","Practice Suite","Home Page Test","HomePageTest.NavigationBarTest","HomePageTest.NavigationBarTest","verifyBackFormBlogPageToHomePage","verifyBackFormBlogPageToHomePage",""
"passed","Sun Sep 24 10:27:16 AST 2023","Sun Sep 24 10:27:16 AST 2023","39","Practice Suite","Join As Specialist Form Test","JoinAsSpecialistTest","JoinAsSpecialistTest","verifyJoinAsSpecialistButtonIsDisplayed","verifyJoinAsSpecialistButtonIsDisplayed",""
"passed","Sun Sep 24 10:27:34 AST 2023","Sun Sep 24 10:27:34 AST 2023","25","Practice Suite","Specialists Page Test","SpecialistsPageTest","SpecialistsPageTest","verifyHeadTitleHeroSectionIsDisplayed","verifyHeadTitleHeroSectionIsDisplayed",""
"passed","Sun Sep 24 10:26:32 AST 2023","Sun Sep 24 10:26:32 AST 2023","23","Practice Suite","Home Page Test","HomePageTest.NavigationBarTest","HomePageTest.NavigationBarTest","blogMenuItemHrefIsCorrect","blogMenuItemHrefIsCorrect",""
"passed","Sun Sep 24 10:27:09 AST 2023","Sun Sep 24 10:27:09 AST 2023","198","Practice Suite","Home Page Test","HomePageTest.ApprovedOfficialAuthoritiesSectionTest","HomePageTest.ApprovedOfficialAuthoritiesSectionTest","verifyApprovedOfficialAuthoritiesSectionIsDisplayed","verify Approved Official Authorities Section Is Displayed",""
"passed","Sun Sep 24 10:26:28 AST 2023","Sun Sep 24 10:26:31 AST 2023","2546","Practice Suite","Home Page Test","HomePageTest.NavigationBarTest","HomePageTest.NavigationBarTest","ClickingSpecialistsMenuItemOpensSpecialistsPage","ClickingSpecialistsMenuItemOpensSpecialistsPage",""
